Pclass,Sex,Age,SibSp,Ticket,Fare,Embarked
0,3,male,22.0,1,A/5 21171,7.25,S
1,1,female,38.0,1,PC 17599,71.2833,C
2,3,female,26.0,0,STON/O2. 3101282,7.925,S
3,1,female,35.0,1,113803,53.1,S
4,3,male,35.0,0,373450,8.05,S
5,3,male,,0,330877,8.4583,Q
6,1,male,54.0,0,17463,51.8625,S
7,3,male,2.0,3,349909,21.075,S
8,3,female,27.0,0,347742,11.1333,S
9,2,female,14.0,1,237736,30.0708,C
10,3,female,4.0,1,PP 9549,16.7,S
11,1,female,58.0,0,113783,26.55,S
12,3,male,20.0,0,A/5. 2151,8.05,S
13,3,male,39.0,1,347082,31.275,S
14,3,female,14.0,0,350406,7.8542,S
15,2,female,55.0,0,248706,16.0,S
16,3,male,2.0,4,382652,29.125,Q
17,2,male,,0,244373,13.0,S
18,3,female,31.0,1,345763,18.0,S
19,3,female,,0,2649,7.225,C
20,2,male,35.0,0,239865,26.0,S
21,2,male,34.0,0,248698,13.0,S
22,3,female,15.0,0,330923,8.0292,Q
23,1,male,28.0,0,113788,35.5,S
24,3,female,8.0,3,349909,21.075,S
25,3,female,38.0,1,347077,31.3875,S
26,3,male,,0,2631,7.225,C
27,1,male,19.0,3,19950,263.0,S
28,3,female,,0,330959,7.8792,Q
29,3,male,,0,349216,7.8958,S
30,1,male,40.0,0,PC 17601,27.7208,C
31,1,female,,1,PC 17569,146.5208,C
32,3,female,,0,335677,7.75,Q
33,2,male,66.0,0,C.A. 24579,10.5,S
34,1,male,28.0,1,PC 17604,82.1708,C
35,1,male,42.0,1,113789,52.0,S
36,3,male,,0,2677,7.2292,C
37,3,male,21.0,0,A./5. 2152,8.05,S
38,3,female,18.0,2,345764,18.0,S
39,3,female,14.0,1,2651,11.2417,C
40,3,female,40.0,1,7546,9.475,S
41,2,female,27.0,1,11668,21.0,S
42,3,male,,0,349253,7.8958,C
43,2,female,3.0,1,SC/Paris 2123,41.5792,C
44,3,female,19.0,0,330958,7.8792,Q
45,3,male,,0,S.C./A.4. 23567,8.05,S
46,3,male,,1,370371,15.5,Q
47,3,female,,0,14311,7.75,Q
48,3,male,,2,2662,21.6792,C
49,3,female,18.0,1,349237,17.8,S
50,3,male,7.0,4,3101295,39.6875,S
51,3,male,21.0,0,A/4. 39886,7.8,S
52,1,female,49.0,1,PC 17572,76.7292,C
53,2,female,29.0,1,2926,26.0,S
54,1,male,65.0,0,113509,61.9792,C
55,1,male,,0,19947,35.5,S
56,2,female,21.0,0,C.A. 31026,10.5,S
57,3,male,28.5,0,2697,7.2292,C
58,2,female,5.0,1,C.A. 34651,27.75,S
59,3,male,11.0,5,CA 2144,46.9,S
60,3,male,22.0,0,2669,7.2292,C
61,1,female,38.0,0,113572,80.0,
62,1,male,45.0,1,36973,83.475,S
63,3,male,4.0,3,347088,27.9,S
64,1,male,,0,PC 17605,27.7208,C
65,3,male,,1,2661,15.2458,C
66,2,female,29.0,0,C.A. 29395,10.5,S
67,3,male,19.0,0,S.P. 3464,8.1583,S
68,3,female,17.0,4,3101281,7.925,S
69,3,male,26.0,2,315151,8.6625,S
70,2,male,32.0,0,C.A. 33111,10.5,S
71,3,female,16.0,5,CA 2144,46.9,S
72,2,male,21.0,0,S.O.C. 14879,73.5,S
73,3,male,26.0,1,2680,14.4542,C
74,3,male,32.0,0,1601,56.4958,S
75,3,male,25.0,0,348123,7.65,S
76,3,male,,0,349208,7.8958,S
77,3,male,,0,374746,8.05,S
78,2,male,0.83,0,248738,29.0,S
79,3,female,30.0,0,364516,12.475,S
80,3,male,22.0,0,345767,9.0,S
81,3,male,29.0,0,345779,9.5,S
82,3,female,,0,330932,7.7875,Q
83,1,male,28.0,0,113059,47.1,S
84,2,female,17.0,0,SO/C 14885,10.5,S
85,3,female,33.0,3,3101278,15.85,S
86,3,male,16.0,1,W./C. 6608,34.375,S
87,3,male,,0,SOTON/OQ 392086,8.05,S
88,1,female,23.0,3,19950,263.0,S
89,3,male,24.0,0,343275,8.05,S
90,3,male,29.0,0,343276,8.05,S
91,3,male,20.0,0,347466,7.8542,S
92,1,male,46.0,1,W.E.P. 5734,61.175,S
93,3,male,26.0,1,C.A. 2315,20.575,S
94,3,male,59.0,0,364500,7.25,S
95,3,male,,0,374910,8.05,S
96,1,male,71.0,0,PC 17754,34.6542,C
97,1,male,23.0,0,PC 17759,63.3583,C
98,2,female,34.0,0,231919,23.0,S
99,2,male,34.0,1,244367,26.0,S
100,3,female,28.0,0,349245,7.8958,S
101,3,male,,0,349215,7.8958,S
102,1,male,21.0,0,35281,77.2875,S
103,3,male,33.0,0,7540,8.6542,S
104,3,male,37.0,2,3101276,7.925,S
105,3,male,28.0,0,349207,7.8958,S
106,3,female,21.0,0,343120,7.65,S
107,3,male,,0,312991,7.775,S
108,3,male,38.0,0,349249,7.8958,S
109,3,female,,1,371110,24.15,Q
110,1,male,47.0,0,110465,52.0,S
111,3,female,14.5,1,2665,14.4542,C
112,3,male,22.0,0,324669,8.05,S
113,3,female,20.0,1,4136,9.825,S
114,3,female,17.0,0,2627,14.4583,C
115,3,male,21.0,0,STON/O 2. 3101294,7.925,S
116,3,male,70.5,0,370369,7.75,Q
117,2,male,29.0,1,11668,21.0,S
118,1,male,24.0,0,PC 17558,247.5208,C
119,3,female,2.0,4,347082,31.275,S
120,2,male,21.0,2,S.O.C. 14879,73.5,S
121,3,male,,0,A4. 54510,8.05,S
122,2,male,32.5,1,237736,30.0708,C
123,2,female,32.5,0,27267,13.0,S
124,1,male,54.0,0,35281,77.2875,S
125,3,male,12.0,1,2651,11.2417,C
126,3,male,,0,370372,7.75,Q
127,3,male,24.0,0,C 17369,7.1417,S
128,3,female,,1,2668,22.3583,C
129,3,male,45.0,0,347061,6.975,S
130,3,male,33.0,0,349241,7.8958,C
131,3,male,20.0,0,SOTON/O.Q. 3101307,7.05,S
132,3,female,47.0,1,A/5. 3337,14.5,S
133,2,female,29.0,1,228414,26.0,S
134,2,male,25.0,0,C.A. 29178,13.0,S
135,2,male,23.0,0,SC/PARIS 2133,15.0458,C
136,1,female,19.0,0,11752,26.2833,S
137,1,male,37.0,1,113803,53.1,S
138,3,male,16.0,0,7534,9.2167,S
139,1,male,24.0,0,PC 17593,79.2,C
140,3,female,,0,2678,15.2458,C
141,3,female,22.0,0,347081,7.75,S
142,3,female,24.0,1,STON/O2. 3101279,15.85,S
143,3,male,19.0,0,365222,6.75,Q
144,2,male,18.0,0,231945,11.5,S
145,2,male,19.0,1,C.A. 33112,36.75,S
146,3,male,27.0,0,350043,7.7958,S
147,3,female,9.0,2,W./C. 6608,34.375,S
148,2,male,36.5,0,230080,26.0,S
149,2,male,42.0,0,244310,13.0,S
150,2,male,51.0,0,S.O.P. 1166,12.525,S
151,1,female,22.0,1,113776,66.6,S
152,3,male,55.5,0,A.5. 11206,8.05,S
153,3,male,40.5,0,A/5. 851,14.5,S
154,3,male,,0,Fa 265302,7.3125,S
155,1,male,51.0,0,PC 17597,61.3792,C
156,3,female,16.0,0,35851,7.7333,Q
157,3,male,30.0,0,SOTON/OQ 392090,8.05,S
158,3,male,,0,315037,8.6625,S
159,3,male,,8,CA. 2343,69.55,S
160,3,male,44.0,0,371362,16.1,S
161,2,female,40.0,0,C.A. 33595,15.75,S
162,3,male,26.0,0,347068,7.775,S
163,3,male,17.0,0,315093,8.6625,S
164,3,male,1.0,4,3101295,39.6875,S
165,3,male,9.0,0,363291,20.525,S
166,1,female,,0,113505,55.0,S
167,3,female,45.0,1,347088,27.9,S
168,1,male,,0,PC 17318,25.925,S
169,3,male,28.0,0,1601,56.4958,S
170,1,male,61.0,0,111240,33.5,S
171,3,male,4.0,4,382652,29.125,Q
172,3,female,1.0,1,347742,11.1333,S
173,3,male,21.0,0,STON/O 2. 3101280,7.925,S
174,1,male,56.0,0,17764,30.6958,C
175,3,male,18.0,1,350404,7.8542,S
176,3,male,,3,4133,25.4667,S
177,1,female,50.0,0,PC 17595,28.7125,C
178,2,male,30.0,0,250653,13.0,S
179,3,male,36.0,0,LINE,0.0,S
180,3,female,,8,CA. 2343,69.55,S
181,2,male,,0,SC/PARIS 2131,15.05,C
182,3,male,9.0,4,347077,31.3875,S
183,2,male,1.0,2,230136,39.0,S
184,3,female,4.0,0,315153,22.025,S
185,1,male,,0,113767,50.0,S
186,3,female,,1,370365,15.5,Q
187,1,male,45.0,0,111428,26.55,S
188,3,male,40.0,1,364849,15.5,Q
